order_id,customer_country,shipping_date,delivery_date,order_status,shipping_provider
5001,Canada,2025-04-18,2025-04-21,Shipped,FedEx
5002,UK,2025-04-18,2025-04-24,Shipped,DHL
5003,UK,2025-04-18,2025-04-25,Shipped,USPS
5004,USA,2025-04-18,2025-04-23,Returned,FedEx
5005,USA,2025-04-18,2025-04-20,In Transit,FedEx
5006,USA,2025-04-18,2025-04-22,Shipped,DHL
5007,Germany,2025-04-18,2025-04-22,In Transit,UPS
5008,Canada,2025-04-18,2025-04-20,Shipped,USPS
5009,Australia,2025-04-18,2025-04-25,In Transit,DHL
5010,Germany,2025-04-18,2025-04-21,Delivered,DHL
5011,Germany,2025-04-18,2025-04-19,In Transit,USPS
5012,Canada,2025-04-18,2025-04-21,In Transit,USPS
5013,Canada,2025-04-18,2025-04-25,Delivered,FedEx
5014,Australia,2025-04-18,2025-04-21,In Transit,USPS
5015,USA,2025-04-18,2025-04-20,In Transit,USPS
5016,USA,2025-04-18,2025-04-23,Returned,DHL
5017,USA,2025-04-18,2025-04-22,Returned,USPS
5018,UK,2025-04-18,2025-04-23,Returned,USPS
5019,Australia,2025-04-18,2025-04-19,Delivered,DHL
5020,USA,2025-04-18,2025-04-20,Returned,UPS
5021,USA,2025-04-18,2025-04-21,Shipped,USPS
5022,Germany,2025-04-18,2025-04-23,Delivered,DHL
5023,Australia,2025-04-18,2025-04-25,Returned,DHL
5024,Germany,2025-04-18,2025-04-25,Delivered,FedEx
5025,Canada,2025-04-18,2025-04-21,Shipped,USPS
5026,UK,2025-04-18,2025-04-22,In Transit,DHL
5027,Australia,2025-04-18,2025-04-21,In Transit,DHL
5028,USA,2025-04-18,2025-04-19,Shipped,DHL
5029,UK,2025-04-18,2025-04-21,Delivered,DHL
5030,Australia,2025-04-18,2025-04-20,Delivered,FedEx
5031,Australia,2025-04-18,2025-04-24,In Transit,DHL
5032,Australia,2025-04-18,2025-04-24,Shipped,UPS
5033,UK,2025-04-18,2025-04-23,Returned,UPS
5034,Canada,2025-04-18,2025-04-22,Delivered,USPS
5035,UK,2025-04-18,2025-04-24,Delivered,USPS
5036,Canada,2025-04-18,2025-04-22,Returned,DHL
5037,UK,2025-04-18,2025-04-25,Returned,UPS
5038,Germany,2025-04-18,2025-04-21,Delivered,UPS
5039,UK,2025-04-18,2025-04-19,In Transit,FedEx
5040,UK,2025-04-18,2025-04-21,Delivered,FedEx
5041,Germany,2025-04-18,2025-04-23,In Transit,FedEx
5042,USA,2025-04-18,2025-04-23,Shipped,USPS
5043,Germany,2025-04-18,2025-04-24,Returned,FedEx
5044,UK,2025-04-18,2025-04-24,Delivered,DHL
5045,Germany,2025-04-18,2025-04-23,Returned,DHL
5046,Canada,2025-04-18,2025-04-20,In Transit,UPS
5047,Canada,2025-04-18,2025-04-19,Delivered,UPS
5048,UK,2025-04-18,2025-04-20,In Transit,FedEx
5049,USA,2025-04-18,2025-04-21,Returned,FedEx
5050,Germany,2025-04-18,2025-04-23,Shipped,FedEx
